Format: joint values q = (beta_1[meters], beta_2[meters], beta_3[meters], alpha_1[rad], alpha_2[rad], alpha_3[rad]) | tip position p = (x[meters], y[meters], z[meters])
q = (-0.0838674, -0.0555999, -0.0433607, 1.00025, 0.881229, -4.11188e-14) 	 | 	 p = (0.0359186, -0.0274076, 0.146757)
q = (-0.0665629, -0.0519803, -0.0433604, 1.47568, 1.49067, -4.11188e-14) 	 | 	 p = (0.0541498, -0.00462997, 0.156185)
q = (-0.0617716, -0.0501703, -0.0433563, 1.78732, 1.83305, -4.11188e-14) 	 | 	 p = (0.0547642, 0.0137541, 0.158935)
q = (-0.058471, -0.0492633, -0.043342, 1.97404, 2.03187, -4.11188e-14) 	 | 	 p = (0.0526448, 0.0247908, 0.160511)
q = (-0.0563671, -0.0488027, -0.0433156, 2.08664, 2.14903, -4.11188e-14) 	 | 	 p = (0.0504656, 0.0313031, 0.161388)
q = (-0.0550849, -0.0485591, -0.0432799, 2.15269, 2.21677, -4.11188e-14) 	 | 	 p = (0.0488808, 0.0350461, 0.161876)
q = (-0.054322, -0.0484195, -0.0432387, 2.19144, 2.25619, -4.11188e-14) 	 | 	 p = (0.0478391, 0.0372059, 0.162155)
q = (-0.0538708, -0.0483291, -0.0431946, 2.21326, 2.27829, -4.11188e-14) 	 | 	 p = (0.0472195, 0.0384114, 0.162324)
q = (-0.0535999, -0.0482619, -0.0431491, 2.22483, 2.28999, -4.11188e-14) 	 | 	 p = (0.0468864, 0.0390522, 0.162435)
q = (-0.0534309, -0.0482055, -0.0431028, 2.23005, 2.29528, -4.11188e-14) 	 | 	 p = (0.0467452, 0.0393502, 0.162515)
q = (-0.0533182, -0.0481542, -0.0430563, 2.2314, 2.29667, -4.11188e-14) 	 | 	 p = (0.0467263, 0.0394428, 0.162579)
q = (-0.0532362, -0.0481052, -0.0430096, 2.23039, 2.2957, -4.11188e-14) 	 | 	 p = (0.0467843, 0.0394119, 0.162635)
q = (-0.0531707, -0.0480574, -0.0429628, 2.22799, 2.29333, -4.11188e-14) 	 | 	 p = (0.0468883, 0.0393084, 0.162687)
q = (-0.0531141, -0.0480101, -0.042916, 2.22479, 2.29015, -4.11188e-14) 	 | 	 p = (0.0470188, 0.039163, 0.162736)
q = (-0.0530621, -0.0479631, -0.0428692, 2.22116, 2.28654, -4.11188e-14) 	 | 	 p = (0.0471629, 0.038995, 0.162784)
q = (-0.0530126, -0.0479161, -0.0428224, 2.21733, 2.28274, -4.11188e-14) 	 | 	 p = (0.0473127, 0.0388161, 0.162831)
q = (-0.0529643, -0.0478692, -0.0427755, 2.21345, 2.27888, -4.11188e-14) 	 | 	 p = (0.0474632, 0.0386335, 0.162879)
q = (-0.0529168, -0.0478224, -0.0427287, 2.20961, 2.27506, -4.11188e-14) 	 | 	 p = (0.0476113, 0.0384517, 0.162926)
q = (-0.0528696, -0.0477756, -0.0426819, 2.20585, 2.27133, -4.11188e-14) 	 | 	 p = (0.0477551, 0.0382733, 0.162973)
q = (-0.0528226, -0.0477287, -0.0426351, 2.2022, 2.26771, -4.11188e-14) 	 | 	 p = (0.0478938, 0.0380999, 0.163019)
q = (-0.0527757, -0.0476819, -0.0425883, 2.19868, 2.26422, -4.11188e-14) 	 | 	 p = (0.0480268, 0.0379322, 0.163066)
q = (-0.0527288, -0.0476351, -0.0425415, 2.19531, 2.26088, -4.11188e-14) 	 | 	 p = (0.0481538, 0.0377708, 0.163113)
q = (-0.0526819, -0.0475883, -0.0424947, 2.19207, 2.25768, -4.11188e-14) 	 | 	 p = (0.048275, 0.0376159, 0.16316)
q = (-0.0526351, -0.0475415, -0.0424479, 2.18898, 2.25462, -4.11188e-14) 	 | 	 p = (0.0483904, 0.0374673, 0.163207)
q = (-0.0525883, -0.0474947, -0.0424011, 2.18602, 2.2517, -4.11188e-14) 	 | 	 p = (0.0485001, 0.0373251, 0.163254)
q = (-0.0525415, -0.0474479, -0.0423543, 2.18319, 2.24891, -4.11188e-14) 	 | 	 p = (0.0486045, 0.0371891, 0.1633)
q = (-0.0524947, -0.0474011, -0.0423075, 2.1805, 2.24625, -4.11188e-14) 	 | 	 p = (0.0487037, 0.0370591, 0.163347)
q = (-0.0524479, -0.0473543, -0.0422607, 2.17792, 2.24372, -4.11188e-14) 	 | 	 p = (0.048798, 0.0369349, 0.163394)
q = (-0.0524011, -0.0473075, -0.0422139, 2.17547, 2.24131, -4.11188e-14) 	 | 	 p = (0.0488875, 0.0368163, 0.163441)
q = (-0.0523543, -0.0472607, -0.0421671, 2.17312, 2.23901, -4.11188e-14) 	 | 	 p = (0.0489726, 0.036703, 0.163488)
q = (-0.0523075, -0.0472139, -0.0421203, 2.17089, 2.23683, -4.11188e-14) 	 | 	 p = (0.0490535, 0.0365949, 0.163534)
q = (-0.0522607, -0.0471671, -0.0420736, 2.16875, 2.23474, -4.11188e-14) 	 | 	 p = (0.0491303, 0.0364917, 0.163581)
